ProductNumber,ShortName,Description,Brand,Colour,Length,Weight,Price,DaysOfWarranty,Category,Stock,Height,Width
2210570792481,Gaming Console,"Designed for comfort and style, perfect for daily use.",Miller-Mclaughlin,DarkGray,13.93,0.86,90.39,31,Gaming,22,33.24,33.08
5221955193141,Gaming Console,A high-quality electronic device with advanced features.,Thompson Ltd,DarkKhaki,21.46,3.71,41.28,292,Gaming,94,11.16,17.22
0530776191546,Laptop,"Durable and suitable for all ages, providing hours of fun.",Stone-Lee,DimGray,30.12,3.33,67.33,181,Electronics,88,20.19,8.43
1968363009612,Gaming Console,Lightweight and powerful with a sleek design.,Larson-Martinez,DarkTurquoise,20.27,2.21,137.55,155,Gaming,42,46.26,22.4
0079027159121,Headphones,"Durable and suitable for all ages, providing hours of fun.",Ramos-Jimenez,DarkOliveGreen,15.64,0.95,150.22,108,Electronics,29,27.31,39.26
1797115391527,Laptop,Lightweight and powerful with a sleek design.,Davis-Thomas,SkyBlue,48.53,0.22,57.33,191,Electronics,74,33.93,15.23
4198246375115,Gaming Console,Lightweight and powerful with a sleek design.,"Dunn, Greene and Torres",MediumPurple,24.77,4.02,60.69,230,Gaming,44,37.29,39.61
2886152352710,Headphones,A must-have gadget for tech enthusiasts.,"Johnson, James and Savage",LightGoldenRodYellow,41.5,3.73,10.88,151,Electronics,78,22.87,17.59
9906933111237,Smartwatch,"Durable and suitable for all ages, providing hours of fun.",Williams PLC,DeepSkyBlue,13.68,0.92,192.03,280,Wearables,67,23.44,29.04
3582196040789,Smartphone,A must-have gadget for tech enthusiasts.,Hernandez-Leon,Linen,35.7,2.3,185.95,298,Electronics,40,9.2,5.66
5793933043293,Smartwatch,"Designed for comfort and style, perfect for daily use.",Ramirez LLC,Crimson,48.4,4.1,46.26,308,Wearables,88,37.04,39.78
5609509868217,Headphones,"Designed for comfort and style, perfect for daily use.",Meadows-Harmon,LightSalmon,20.78,2.83,157.81,56,Electronics,35,40.25,43.65
2412824477254,Headphones,Lightweight and powerful with a sleek design.,Fields PLC,DarkGray,21.6,4.05,120.46,353,Electronics,10,34.03,49.07
2153553160696,Headphones,A high-quality electronic device with advanced features.,Hunter and Sons,LimeGreen,38.83,3.36,186.25,217,Electronics,25,34.26,10.65
4281029918552,Headphones,"Designed for comfort and style, perfect for daily use.","Burke, Cunningham and Simmons",LimeGreen,43.91,1.85,67.73,266,Electronics,60,21.82,22.77
4066880386722,Headphones,A high-quality electronic device with advanced features.,Schultz PLC,LemonChiffon,31.36,4.05,49.48,297,Electronics,63,28.0,12.79
4095961720872,Gaming Console,A must-have gadget for tech enthusiasts.,Smith-Wright,Indigo,11.79,3.2,122.19,332,Gaming,57,37.33,32.07
8611881027929,Smartphone,Lightweight and powerful with a sleek design.,"Wagner, Cruz and Oconnor",Orange,41.76,4.3,70.64,70,Electronics,12,17.47,8.0
6179230952428,Smartphone,A must-have gadget for tech enthusiasts.,Smith PLC,LightSeaGreen,8.91,2.28,15.84,342,Electronics,42,12.65,8.07
4573436506737,Smartwatch,A high-quality electronic device with advanced features.,"Velez, Davila and Jones",DarkOrange,39.34,4.06,19.79,89,Wearables,28,22.66,14.05
9870083059360,Smartphone,Lightweight and powerful with a sleek design.,Cooper-Phillips,SeaGreen,41.51,0.42,93.79,42,Electronics,62,32.42,7.83
6839412094994,Smartwatch,A must-have gadget for tech enthusiasts.,Brown Group,PaleGoldenRod,23.81,2.68,129.67,158,Wearables,64,29.07,24.86
2369616467217,Gaming Console,"Durable and suitable for all ages, providing hours of fun.",Davis and Sons,MediumBlue,43.88,3.43,96.4,9,Gaming,35,21.34,33.47
6641807059378,Laptop,A high-quality electronic device with advanced features.,Jones LLC,DimGray,29.06,0.57,129.27,42,Electronics,70,36.45,25.42
8518379944242,Laptop,A must-have gadget for tech enthusiasts.,"Hart, Crosby and Freeman",Orange,32.01,2.36,143.6,15,Electronics,54,8.78,19.11
9428753612188,Smartphone,"Designed for comfort and style, perfect for daily use.",Lucero-Yu,Plum,45.7,4.81,189.37,34,Electronics,38,8.46,43.66
6384551200244,Headphones,Lightweight and powerful with a sleek design.,"Morgan, Moreno and Garcia",Orange,10.11,3.73,112.04,236,Electronics,86,6.76,18.07
9145683163824,Smartphone,"Durable and suitable for all ages, providing hours of fun.",Delgado and Sons,OldLace,6.12,1.79,124.16,55,Electronics,71,13.15,37.31
0935155538736,Laptop,Lightweight and powerful with a sleek design.,Johnson PLC,Cyan,23.12,0.98,93.14,50,Electronics,43,20.71,33.76
2201175287656,Gaming Console,"Durable and suitable for all ages, providing hours of fun.",Davis-Carson,LightSkyBlue,9.53,0.36,114.11,62,Gaming,73,23.08,10.53
6818611480463,Headphones,A high-quality electronic device with advanced features.,Reese-Andrade,Lime,43.81,2.33,190.16,317,Electronics,40,40.08,43.55
1442605527152,Headphones,A high-quality electronic device with advanced features.,Stanley-Mann,Cyan,26.83,0.16,189.78,184,Electronics,42,18.84,25.6
3521584414313,Smartphone,Lightweight and powerful with a sleek design.,"Miller, Peterson and Porter",SaddleBrown,24.84,4.75,155.56,61,Electronics,51,16.43,26.23
4959903433537,Headphones,A must-have gadget for tech enthusiasts.,Williams Group,MistyRose,27.28,3.52,128.5,14,Electronics,20,38.84,10.54
1412524904815,Gaming Console,"Durable and suitable for all ages, providing hours of fun.",Davis-Johnson,MediumBlue,16.57,3.95,54.24,97,Gaming,47,14.4,36.07
9333375027770,Smartwatch,Lightweight and powerful with a sleek design.,"Thomas, Poole and Cox",DarkOliveGreen,26.54,3.33,75.47,322,Wearables,91,17.45,49.86
6906599374185,Gaming Console,A must-have gadget for tech enthusiasts.,Moses-Mckenzie,DarkCyan,47.82,3.93,167.4,326,Gaming,38,9.48,11.56
6344597613989,Gaming Console,A must-have gadget for tech enthusiasts.,Zavala Inc,LightSeaGreen,23.56,3.64,152.53,146,Gaming,47,33.43,10.07
4915408222182,Smartwatch,Lightweight and powerful with a sleek design.,"Fry, Morgan and Simpson",LightYellow,6.75,1.95,71.6,294,Wearables,63,44.07,15.01
5255652160199,Smartphone,A must-have gadget for tech enthusiasts.,"Thompson, Williams and Johnson",Tomato,22.23,2.8,173.07,236,Electronics,53,48.92,42.49
0567555620379,Gaming Console,A high-quality electronic device with advanced features.,Hoffman and Sons,GoldenRod,22.2,3.22,144.58,105,Gaming,62,8.38,38.97
7922551032237,Laptop,"Designed for comfort and style, perfect for daily use.",Jackson-Green,LemonChiffon,7.66,1.69,68.3,51,Electronics,72,49.43,46.47
6004199078004,Laptop,A must-have gadget for tech enthusiasts.,Jarvis-Garza,DarkOliveGreen,38.63,1.86,162.99,352,Electronics,91,46.88,22.82
3816545542618,Laptop,"Designed for comfort and style, perfect for daily use.",Cox-Griffin,SpringGreen,34.49,1.67,192.77,220,Electronics,94,22.75,6.42
1835307324943,Smartphone,"Durable and suitable for all ages, providing hours of fun.","Ortega, Brown and Decker",WhiteSmoke,12.51,0.54,102.46,174,Electronics,58,28.66,22.5
4154569402006,Gaming Console,A must-have gadget for tech enthusiasts.,"Martin, Clark and Williams",Bisque,27.99,1.19,84.77,194,Gaming,19,39.05,22.88
9775301997267,Smartwatch,"Durable and suitable for all ages, providing hours of fun.",Mayo LLC,LightSeaGreen,44.08,1.17,182.51,283,Wearables,67,47.03,18.13
0057959848467,Headphones,"Designed for comfort and style, perfect for daily use.",Stanley-Torres,MediumSpringGreen,49.2,1.15,45.12,217,Electronics,22,9.47,31.65
7851682519389,Headphones,"Durable and suitable for all ages, providing hours of fun.","Jones, Johnson and Harrison",YellowGreen,18.82,2.63,135.06,138,Electronics,31,12.57,19.92
3318876876672,Smartphone,A must-have gadget for tech enthusiasts.,Avery Ltd,White,49.39,3.65,162.3,8,Electronics,89,28.0,38.0
